# COLUMN GUIDE: name=hobby/interest name, icon=emoji icon, desc=short description
icon,name,desc
🎸,Guitar,Professional guitarist with several live stage and group performances.
🏀,Basketball,Member of middle and high school basketball team.
🏕️,Camping & Travel,Enjoys outdoor camping and international travel.
🎮,Gaming,Computer and console gaming enthusiast.
