# COLUMN GUIDE: org_key=unique key, name=lab/org full name, role=your role, pi_name=PI full name, pi_title=PI title, institution=full institution name, url=website URL, logo_file=filename in assets/logos/, logo_initials=fallback initials if no logo_file, logo_color=hex color, period=date range, desc=short internal note, show_in_experience=[yes|no], display_detail=optional short detail shown on public card, hide_meta=[yes|no] suppress institution+period from public card, link_label_2=optional second link text, link_url_2=optional second link URL (renders a links row on the card)
org_key,name,role,pi_name,pi_title,institution,url,logo_file,logo_initials,logo_color,period,desc,show_in_experience,display_detail,hide_meta,link_label_2,link_url_2
surgery-innovation-center,Department of Surgery – Surgical Innovation,Research Fellow,,,Mayo Clinic Rochester MN,,,MC,#c8102e,2024 – Present,Compact public affiliation,no,,no,,
surgical-ai-collaborations,Surgical AI and Innovation Collaborations,Research Collaborator,,,Mayo Clinic and collaborators,,,SA,#1f3864,2024 – Present,Compact public affiliation,no,,no,,
a-star-lab,A-Star Lab,Research Fellow,,,Mayo Clinic Rochester MN,https://a-starlab.com/,,ASTAR,#1f3864,2025 – Present,Compact public affiliation,yes,Artificial Intelligence & Surgical Technologies,yes,Mayo Lab Page,https://www.mayo.edu/research/labs/artificial-intelligence-surgical-technologies/overview
tavs,Thoracic and Vascular Surgery Research Center,Senior Researcher & Project Manager,Dr. Bizhan Ziaian MD,Associate Professor of Thoracic Surgery,Shiraz University of Medical Sciences Iran,,tavs.png,TAVS,#003087,2018 – 2024,Compact public affiliation,yes,,yes,,
