# COLUMN GUIDE: role=editorial role, journal=journal name, period=tenure period, url=journal URL (optional)
role,journal,url,period
Guest Editor,PLOS One,,June 2022
Associate Editor,Shiraz E-Medical Journal,https://semj.brieflands.com/en/people/certificate/24156995f52b22cd8,August 2021
