# COLUMN GUIDE: year=award year, title=award name, org=awarding organisation, url=link (optional)
year,title,org,url
Dec 2023,World's Top 2% Scientists,Elsevier Data Repository / Stanford,https://topresearcherslist.com/Home/Profile/760111
Oct 2020,National Outstanding Student Researcher,Iran Ministry of Health and Medical Education,
