name,role,inst,link_label_1,link_url_1,link_label_2,link_url_2
"Dr. Janani S. Reisenauer, MD","Professor of Surgery; Chair, Division of Thoracic Surgery; Interventional Pulmonary Medicine · Asst. Medical Director, Research Innovation & Business Development","Department of Surgery, Mayo Clinic, Rochester, MN",Mayo Profile,https://www.mayoclinic.org/biographies/reisenauer-janani-s-m-d/bio-20433096,,
"Dr. Simon J. Laplante, MD","Assistant Professor of Bariatric Surgery, Division of Metabolic and Abdominal Wall Reconstructive Surgery","Department of Surgery, Mayo Clinic, Rochester, MN",Mayo Profile,https://www.mayoclinic.org/biographies/laplante-simon-j-m-d/bio-20573005,MStar Lab,https://www.mstarlab.com/team
"Dr. Kitty Y. Wu, MD, MSc, FRCSC","Assistant Professor of Plastic Surgery, Division of Plastic and Reconstructive Surgery","Department of Surgery, Mayo Clinic, Rochester, MN",Mayo Profile,https://www.mayoclinic.org/biographies/wu-kitty-y-m-d/bio-20552093,,
"Dr. Aparna Vijayasekaran, MBBS","Assistant Professor of Plastic Surgery, Division of Plastic and Reconstructive Surgery","Department of Surgery, Mayo Clinic, Rochester, MN",Mayo Profile,https://www.mayoclinic.org/biographies/vijayasekaran-aparna-m-b-b-s/bio-20453484,,
"Dr. Cornelius A. Thiels, DO, MBA, FACS","Associate Professor of Surgery & Health Services Research; Associate Chair of Innovation; Co-Director, Surgical AI² Lab","Department of Surgery, Mayo Clinic, Rochester, MN",Mayo Profile,https://www.mayoclinic.org/biographies/thiels-cornelius-a-d-o-m-b-a/bio-20519744,,
"Dr. Soheil Ashkani-Esfahani, MD, MPH","Assistant Professor of Orthopedic Surgery, Harvard Medical School; Director, FARIL; Clinical Executive Director, Mass General Brigham Orthopaedic Registry","Dept. of Orthopaedic Surgery, Massachusetts General Hospital, Boston, MA",HMS Profile,https://connects.catalyst.harvard.edu/profiles/display/Person/186262,ResearchGate,https://www.researchgate.net/scientific-contributions/Soheil-Ashkani-Esfahani-2289577688
"Dr. Mohammad Javad Fallahi, MD","Associate Professor; Chair, Division of Internal Medicine; Pulmonology Division","Department of Internal Medicine, Shiraz University of Medical Sciences, Shiraz, Iran",LinkedIn,https://www.linkedin.com/in/mohammad-javad-fallahi-58bb8977,ResearchGate,https://www.researchgate.net/profile/Mohammad-Javad-Fallahi-3
"Dr. Bizhan Ziaian, MD","Associate Professor of Thoracic Surgery; Director, Thoracic and Vascular Surgery Research Center (TAVS)","Shiraz University of Medical Sciences, Shiraz, Iran",LinkedIn,https://www.linkedin.com/in/bizhan-ziaian-57b87479/,,
"Dr. Alireza Rezvani, MD",Assistant Professor of Hematology and Oncology; Vice Chancellor for Research,"Department of Internal Medicine, Shiraz University of Medical Sciences, Shiraz, Iran",LinkedIn,https://www.linkedin.com/in/alireza-rezvani-56696688/,,
