# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
62,2023,Mar,original,corresponding;last,vascular,Association of Complications during and after Carotid Body Tumor Resection with Tumor Size and Distance to the Base of Skull,"Ghoddusi Johari H, Afshari A, Abolhasani Foroughi A, Khademi B, Shahriarirad S, Erfani A, Hodjati H, Shahriarirad R*",Annals of Vascular Surgery,https://www.sciencedirect.com/science/article/abs/pii/S0890509623001474,Vascular surgery,vascular,
63,2023,Feb,original,first,plastic;pubhealth,Prevalence of Suicide by Self-immolation among Children in Southern Iran,"Shahriarirad R, Ranjbar K, Erfani A, Modarresi M, Koranishiraz A, Kamali M, Zardosht M, Mohammadi AA*",The Journal of Burn Care & Research,https://academic.oup.com/jbcr/advance-article-abstract/doi/10.1093/jbcr/irad023/7049317,Pediatric surgery;Plastic surgery;Public health;Burns,plastic;pubhealth,
64,2023,Feb,original,,gi;urology,Evaluation of the Effectiveness of Prophylactic Omentopexy during Laparoscopic Insertion of Peritoneal Dialysis Catheter: A Case-Control Clinical Trial,"Keshvari A, Meshkati Yazd SM, Keramati MR, Kamran H, Shahriarirad R, Mivefroshan A, Kiani F*",International Urology and Nephrology,https://link.springer.com/article/10.1007/s11255-023-03522-3,Gastrointestinal surgery;Urology,gi;urology,
65,2023,Feb,original,co-first,ortho,Effectiveness of Transcutaneous Electrical Nerve Stimulation alongside Quadriceps Exercise in the Correction of Soccer Genu Varum in Adolescents 14-18 Years Old: A Randomized Controlled Trial,"Pourmokhtari M, Shahriarirad R, Shekouhi R*",Sports Sciences for Health,https://link.springer.com/article/10.1007/s11332-023-01049-9,Peripheral nerve;Rehabilitation;Sports medicine;Orthopaedic surgery;Randomized trial,ortho,
66,2023,Feb,original,corresponding,infectious;transplant;health_systems,COVID-19 Versus Applied Infection Control Policies in a Major Transplant Center in Iran,"Shafiekhani M, Niknam T, Tara SA, Mardani P, Hosseinpour P, Shahriarirad R*, MalekHosseini SA",Cost Effectiveness and Resource Allocation,https://resource-allocation.biomedcentral.com/articles/10.1186/s12962-023-00427-x,Infectious disease;Transplant surgery;Health systems;COVID-19,infectious;transplant,
67,2023,Jan,original,,plastic;derm,Evaluation of the Effect of Platelet Rich Fibrin Matrix in the Correction of Periorbital Wrinkles: An Experimental Clinical Trial,"Ahmadi Mahmoodabadi R, Golafshan HA, Pezeshkian F, Shahriarirad R, Namazi M*",Dermatology Practical & Conceptual,https://dpcj.org/index.php/dpc/article/view/2535,Plastic surgery;Dermatology,plastic;derm,
68,2023,Jan,original,corresponding;last,gi,Gastroesophageal Reflux Disease Incidence Among Male Patients with Irritable Bowel Syndrome: A Single-Center Cross-sectional Study in Southern Iran,"Gholamnezhad F, Qeisari A, Shahriarirad R*",Journal of Gastroenterology and Hepatology Open,https://onlinelibrary.wiley.com/doi/10.1002/jgh3.12867,Gastrointestinal surgery,gi,
69,2023,Jan,original,,oncology;plastic,Postoperative Cosmetic Outcome of Intraoperative Radiotherapy in Comparison to Whole Breast Radiotherapy in Early Stage Breast Cancer: A Retrospective Cohort Study,"Nafisi N, Meshkati Yazd SM, Shahriarirad R, Zangeneh S, Ghorbani S, Farazmand B, Karoobi MR*, Mirzaei HR",BMC Cancer,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-022-10468-9,Surgical oncology;Plastic surgery;Breast reconstruction;Breast cancer,oncology;plastic,
70,2023,Apr,original,,gi,Hand-Sewn Direct Repair Versus Resection and Hand-Sewn Anastomosis Techniques for the Reversal of Diverting Loop Ileostomy after Lower Anterior Rectal Resection Surgery: A Randomized Clinical Trial,"Keramati MR, Meshkati Yazd SM, Shahriarirad R, Omidi M, Nabavizadeh SS, Keshvari A*",Journal of Surgical Oncology,https://onlinelibrary.wiley.com/doi/10.1002/jso.27185,Gastrointestinal surgery;Colorectal surgery;Randomized trial,gi,
71,2022,Dec,original,corresponding,plastic;endocrine,Hypertonic Saline Solution 5% as an Effective Cost-beneficial Alternative to Normal Saline for Wound Healing in Patients with Diabetic Lower-Extremity Ulcers: A Randomized Controlled Trial,"Ziaian B, Khezri S, Amirian A, Ranjbar K, Shahriarirad R*, Eskandari Kohnakia M",Journal of Diabetes & Metabolic Disorders,https://link.springer.com/article/10.1007/s40200-022-01167-0,Diabetes;Plastic surgery;Endocrine surgery;Wound healing;Randomized trial,plastic;endocrine,
72,2022,Dec,original,first,endocrine,Evaluation of the Role of Prophylactic Bilateral Central Neck Lymph Node Dissection in Patients with Papillary Thyroid Carcinoma: A Case Controlled Study,"Shahriarirad R, Meshkati Yazd SM, Zahedi R, Mokhtari Ardekani A, Rekabi MM, Nasiri S*",Updates in Surgery,https://link.springer.com/article/10.1007/s13304-022-01440-0,Endocrine surgery;Thyroid,endocrine,
73,2022,Dec,original,first,endocrine,Calcitriol Supplementation Before Parathyroidectomy and Calcium Level After Surgery in Parathyroid Adenoma Patients: A Randomized Controlled Trial,"Shahriarirad R, Meshkati Yazd SM, Ardekani A, Mokhtari Ardekani A, Moradi N, Nasiri S*",Journal of Endocrinological Investigation,https://link.springer.com/article/10.1007/s40618-022-01963-8,Nutrition;Supplement;Endocrine surgery;Thyroid;Randomized trial,endocrine,
74,2022,Dec,original,,infectious;pubhealth,"Factors Associated with Reluctancy to Acquire COVID-19 Vaccination: A Cross-sectional Study in Shiraz, Iran, 2022","Maharlouei N, Hosseinpour P, Shahriarirad R, Ranjbar K, Mirahmadizadeh A, Erfani A*",PLOS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0278967,Infectious disease;Public health;COVID-19,infectious;pubhealth,
75,2022,Nov,original,corresponding;last,endocrine,The Effect of Thymectomy during Central Neck Dissection in Papillary Thyroid Carcinoma: A Case-Controlled Study,"Nasiri S, Meshkati Yazd SM, Mokhtari Ardekani A, Fazlollahpour-Naghibi A, Shahintaj M, Shahriarirad R*",Updates in Surgery,https://link.springer.com/article/10.1007/s13304-022-01428-w,Endocrine surgery;Thyroid,endocrine,
76,2022,Oct,original,co-first,thoracic,The Role and Value of Low-Dose Computed Tomography Scan Compared to Esophagoscopy in the Diagnosis of Foreign Body Ingestion in Adults,"Mardani P, Shahriarirad R, Khosravi F, Malekhosseini HR, Amirian A, Kamran H*",General Thoracic and Cardiovascular Surgery,https://link.springer.com/article/10.1007/s11748-022-01880-w,Imaging;Thoracic surgery;Vascular surgery,thoracic,
77,2022,Sep,original,,thoracic,Utilization of Chest Tube as an Esophagus Stent in Pediatric Caustic Injuries: A Retrospective Study,"Salimi M, Hosseinpour H, Shahriarirad R, Esfandiari S, Pooresmaeel F, Sarejloo S, Foroutan H*",World Journal of Clinical Pediatrics,https://www.wjgnet.com/2219-2808/full/v11/i5/419.htm,Innovation;Surgical technique;Pediatric surgery;Thoracic surgery,thoracic,
78,2022,Sep,original,corresponding,infectious,Prevalence and Associated Factors of Complementary and Integrative Medicine Use in Patients Afflicted with COVID-19,"Parvizi MM*, Sedigheh Forouhari S, Shahriarirad R*, Shahriarirad S, Bradley R, Roosta L, Heydari M",BMC Complementary Medicine and Therapies,https://bmccomplementmedtherapies.biomedcentral.com/articles/10.1186/s12906-022-03722-x,Complementary medicine;Infectious disease;COVID-19,infectious,
79,2022,Aug,original,corresponding,thoracic,The Role of Routine Chest Radiography after Implantable Venous Access Port Catheter Insertion under the Guide of Ultrasonography and Fluoroscopy,"Ghoddusi Johari H, Saki M, Erfani A, Shahriarirad R*, Ranjbar K",Cost Effectiveness and Resource Allocation,https://resource-allocation.biomedcentral.com/articles/10.1186/s12962-022-00382-z,Imaging;Thoracic surgery,thoracic,
80,2022,Aug,original,corresponding;last,endocrine;oncology,The Incidence and Features of Delphian Lymph Node Involvement in Patients with Papillary Thyroid Carcinoma,"Alibakhshi A, Sheikhi S, Meshkati Yazd SM, Ardekani A, Ranjbar K, Shahriarirad R*",BMC Surgery,https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-022-01742-5,Endocrine surgery;Surgical oncology;Thyroid,endocrine;oncology,
81,2022,Aug,original,co-first,,"Determination of the Main Causes, Outcome and Prognostic Factors of Patients with Rheumatologic Diseases Admitted to the Medical Intensive Care Unit in Southern Iran","Arjmand M, Shahriarirad R, Shenavandeh S, Fallahi MJ*",Clinical Rheumatology,https://link.springer.com/article/10.1007/s10067-022-06334-5,Rheumatology,,
82,2022,Aug,original,,gi,Evaluation of Post Laparoscopic Cholecystectomy Pain after Subcutaneous Injection of Lidocaine at Port Site versus Lidocaine Spray on Gallbladder Bed: A Randomized Controlled Trial,"Kiany F, Meshkati Yazd SM, Shahriarirad R, Kamran H, Karoobi MR, Mehri G",Langenbeck's Archives of Surgery,https://link.springer.com/article/10.1007/s00423-022-02645-y,Minimally invasive surgery;Gastrointestinal surgery;Randomized trial,gi,
83,2022,Aug,original,corresponding;last,plastic,Therapeutic Efficacy of Great Plantain (Plantago major L.) in the Treatment of Second-Degree Burn Wounds: A Case-Control Study,"Keshavarzi A, Montaseri H, Akrami R, Hoghoughi MA, Ranjbar K, Shahriarirad R*",International Journal of Clinical Practice,https://www.hindawi.com/journals/ijclp/2022/4923277/,Complementary medicine;Herbal medicine;Supplement;Plastic surgery;Burns;Wound healing,plastic,
84,2022,Jul,original,corresponding,ortho,Promising Results of Captopril in Improving Knee Arthrofibrosis and Cartilage Status: An Animal Model Study,"Hashemi SA, Azad A, Erfani A, Shahriarirad R*, Azarpira N",Journal of Experimental Orthopaedics,https://jeo-esska.springeropen.com/articles/10.1186/s40634-022-00516-5,Animal model;Knee;Orthopaedic surgery,ortho,
85,2022,Jul,original,corresponding;last,endocrine,Auto Transplantation of Parathyroid Tissue into Subcutaneous Subclavicular Area Following Total Parathyroidectomy in Secondary Hyperparathyroidism,"Nasiri S, Meshkati Yazd SM, Kamran H, Kahrizi MS, Azhdari M, Shahriarirad R*",Journal of Endocrinological Investigation,https://link.springer.com/article/10.1007/s40618-022-01864-w,Endocrine surgery;Thyroid;Transplant surgery,endocrine,yes
86,2022,Jul,original,last,vascular,The Role of Surgical and Endovascular Repair of Blunt Traumatic Aortic Injury in the Modern Era: A Single-Center Experience,"Ghoddusi Johari H, Moein SA*, Hosseinzadeh A, Kojuri J, Roshanshad A, Shahriarirad R",Bulletin of Emergency and Trauma,https://beat.sums.ac.ir/article_48535.html,Vascular surgery,vascular,
87,2022,Jul,original,,infectious;pubhealth,Parents' Attitude to School Reopening before the Emergence of Omicron Variant of SARS-CoV-2: A Retrospective Web-based Survey,"Mirahmadizadeh A, Heiran A, Sahebi R, Azadian F, Shahriarirad R, Sharifi MH",Health Management & Information Science,https://jhmi.sums.ac.ir/article_48840.html,Pediatric surgery;Infectious disease;Public health;COVID-19,infectious;pubhealth,
88,2022,Jun,original,,infectious,Evaluation and Comparison of Mucormycosis Patients' Features Undergoing Functional Endoscopic Sinus Surgery Prior to and during the COVID-19 Pandemic: A Case-Control Study,"Dehghanpisheh L, Eghbal MH, Salari M, Shahriarirad R, Borzou N, Vatankhah P*",International Journal of Clinical Practice,https://www.hindawi.com/journals/ijclp/2022/1248325/,Infectious disease;COVID-19,infectious,
89,2022,Jun,original,,infectious;machine_learning;pulm,Prediction of Patients with COVID-19 Requiring Intensive Care: A Cross-sectional Study Based on Machine-learning Approach from Iran,"Sabetian G, Azimi A*, Kazemi A*, Hoseini B, Asmarian N, Khaloo V, Zand F, Masjedi M, Shahriarirad R, Shahriarirad S",Indian Journal of Critical Care Medicine,https://www.ijccm.org/abstractArticleContentBrowse/IJCCM/64/26/6/28130/abstractArticle/Article,Infectious disease;Machine learning;Pulmonology;COVID-19,infectious;machine_learning,
90,2022,May,original,co-first,infectious;transplant,"Incidence, Clinicomicrobiological Characteristics, Risk Factors, and Treatment Outcomes of Bacterial Infections Following Liver Transplantation in Pediatrics: A Retrospective Cohort Study","Vazin A, Shahriarirad R, Azadeh N, Parandavar N, Kazemi K, Shafiekhani M*",Archives of Pediatric Infectious Diseases,https://brieflands.com/articles/apid-118809.html,Pediatric surgery;Infectious disease;Transplant surgery,infectious;transplant,
91,2022,May,original,,ortho,Evaluation of Crossover Sign in Pelvis Models Made with a Three-Dimensional Printer,"Salimi A, Mirghaderi SP, Gholamzadeh MJ, Qahremani R, Hadizadeh A, Shahriarirad R, Shekouhi R",Advances in Orthopedics,https://www.hindawi.com/journals/aorth/2022/4665342/,Imaging;Orthopaedic surgery,ortho,
92,2022,May,review,,gi;neuro,Effects of Neuromodulation on Treatment of Recurrent Anal Fissure: A Systematic Review,"Bananzadeh A, Sohooli M, Tahereh Shamsi T, Darabi MH, Shahriarirad R, Shekouhi R*",International Journal of Surgery,https://www.sciencedirect.com/science/article/abs/pii/S1743919122004381,Peripheral nerve;Gastrointestinal surgery;Neurology;Systematic review,gi;neuro,
93,2022,Apr,review,co-first,thoracic,The Effect of Suture Techniques on the Outcome of Tracheal Reconstruction: An Observational Study and Review of Literature,"Ziaian B, Shahriarirad R, Fouladi D*, Mardani P, Amirian A, Kamran H",The Surgeon,https://www.sciencedirect.com/science/article/abs/pii/S1479666X22000580,Thoracic surgery;Systematic review,thoracic,
94,2022,Mar,original,corresponding,gi;transplant,"Comparison of Oral Sirolimus, Prednisolone, and Combination of Both in Experimentally Induced Peritoneal Adhesion","Kazemi K, Hosseinzadeh A, Shahriarirad R*, Naseri R, Shamsaeefar A, Malekhosseini SA",Journal of Surgical Research,https://www.sciencedirect.com/science/article/abs/pii/S0022480422001287,Gastrointestinal surgery;Transplant surgery,gi;transplant,
95,2022,Feb,original,last,ortho;neuro,A Comparison between Effectiveness of Gluteal Trigger Point and Epidural Steroid Injection in Lumbosacral Canal Stenosis Patients: A Randomized Clinical Trial,"Khoshnazar SS, Farpour HR*, Shahriarirad R",British Journal of Neurosurgery,https://www.tandfonline.com/doi/abs/10.1080/02688697.2022.2033698,Orthopaedic surgery;Neurology;Randomized trial,ortho;neuro,
96,2022,Jan,original,,plastic,"Burn Injuries in People Who Used Drug, 2009-2017: A Case-Control Study in Shiraz, Southern Iran","Hoghoughi MA, Marzban MR, Shahrbaf MA, Shahriarirad R, Karoobi M, Ranjbar K",Journal of Burn Care & Research,https://academic.oup.com/jbcr/advance-article-abstract/doi/10.1093/jbcr/irac005/6507346,Plastic surgery;Burns,plastic,
97,2022,Jan,original,,infectious;machine_learning;computer_vision,A Machine Learning-Based System for Detecting Leishmaniasis in Microscopic Images,"Zare M, Akbarialiabad H, Parsaei H, Asgari Q, Alinejad A, Shahriarirad R, Abdollahifard G*",BMC Infectious Diseases,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07029-7,Innovation;Infectious disease;Machine learning;Computer vision,infectious;machine_learning,
98,2022,Jan,original,last,infectious;pubhealth,"Prevalence of Anxiety, Depression, Stress, and Perceived Stress and Their Relation with Resilience in the General Population during the COVID-19 Pandemic: A Cross-sectional Study","Parvar SY, Ghamari N*, Pezeshkian F, Shahriarirad R",Health Science Reports,https://onlinelibrary.wiley.com/doi/full/10.1002/hsr2.460,Infectious disease;Public health;COVID-19,infectious;pubhealth,
99,2021,Dec,original,,infectious,"Serosurvey and Molecular Detection of Toxoplasma gondii in Dogs in Rural Areas of Kazeroun District, Fars Province, Southern Iran","Rezaei Z, Zeighami A, Shahriarirad R, Arefkhah N, Sarkari B",Journal of Parasitology Research,https://www.hindawi.com/journals/jpr/2021/4499086/,Translational research;Infectious disease,infectious,
100,2021,Dec,review,co-first,ortho,Transportal versus All-Inside Techniques of Anterior Cruciate Ligament Reconstruction: A Systematic Review,"Bhimani R, Shahriarirad R, Ranjbar K, Erfani A*, Ashkani-Esfahani S",Journal of Orthopaedic Surgery and Research,https://link.springer.com/article/10.1186/s13018-021-02872-x,Minimally invasive surgery;Orthopaedic surgery;Systematic review,ortho,yes
101,2021,Nov,original,,ortho,Evaluation of the Relationship between Vitamin D Levels and Related Serum Markers as Well as Disease Activity in Patients with Rheumatoid Arthritis,"Moghimi N, Faridfar A, Jelodari Mamaghani H, Nikandish M, Shahriarirad R, Shenavandeh S",Journal of Bioengineering Research,http://www.journalbe.com/article_140812.html,Complementary medicine;Supplement;Nutrition;Orthopaedic surgery,ortho,
102,2021,Nov,original,,endocrine,Comparison of Serologic Celiac Disease in Patients with Hypothyroidism and Healthy Controls: A Case-Control Study,"Sheikhesmaeili F, Salimi M, Salimi A, Nikandish M, Shahriarirad R, Falahati A",Journal of Bioengineering Research,http://www.journalbe.com/article_140814.html,Endocrine surgery;Thyroid,endocrine,
103,2021,Nov,original,corresponding,plastic;pubhealth,Socioeconomic Features of Burn Injuries in Southern Iran: A Cross-sectional Study,"Mohammadi AA, Hoghoughi MA, Karoobi M, Ranjbar K, Shahriarirad R*, Erfani A, Modarresi MS, Zardosht M",Journal of Burn Care & Research,https://academic.oup.com/jbcr/advance-article-abstract/doi/10.1093/jbcr/irab227/6431985,Burns;Plastic surgery;Public health,plastic;pubhealth,
104,2021,Nov,original,corresponding,infectious;transplant,Evaluation of the Therapeutic Regimen in COVID-19 in Transplant Patients: Where do Immunomodulatory and Antivirals Stand?,"Shafiekhani M, Shahabinezhad F, Niknam T, Tara SA, Hosseinpour P, Shahriarirad R*, Malekhosseini SA",BMC Clinical Virology,https://virologyj.biomedcentral.com/articles/10.1186/s12985-021-01700-2,Infectious disease;Transplant surgery;COVID-19,infectious;transplant,
105,2021,Sep,original,,derm;epidemiology,Epidemiological Factors in Patients with Dermatologic Conditions Referring to the Clinic of Traditional Persian Medicine: A Cross-sectional Study,"Parvizi MM*, Fatehi N, Jaladat AM, Gholampour Z, Shahriarirad R, Erfani A",International Journal of Clinical Practice,https://onlinelibrary.wiley.com/doi/abs/10.1111/ijcp.14788,Complementary medicine;Dermatology;Epidemiology,derm;epidemiology,
106,2021,Jul,original,,infectious,"Stereological Analysis of Liver, Spleen and Bone of Leishmania infantum-Experimentally Infected Hamsters","Modabberi F, Ghadimi SN, Shahriarirad R, Nadimi E, Karbalay-Doust S, Rashidi S, Sarkari B*",Experimental Parasitology,https://www.sciencedirect.com/science/article/abs/pii/S0014489421000746,Translational research;Infectious disease,infectious,
107,2021,Jul,review,,,Therapeutic Effects of Stem Cells in Different Body Systems — A Novel Method that is Yet to Gain Trust: A Comprehensive Review,"Ebrahimi A, Ahmadi H, Borhaninia M, Tanideh N*, Shahriarirad R, Erfani A, Ranjbar K, Ashkani-Esfahani S",Bosnian Journal of Basic Medical Sciences,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8554700/,Regenerative medicine;Immunology;Systematic review,,
108,2021,Jul,original,,gi;transplant,Experiences with Intestinal Failure from an Intestinal Rehabilitation Unit in a Country without Home Parenteral Nutrition,"Nikoupour H, Arasteh P, Shamsaeefar A, Malekhosseini SA, Shafiekhani M*, Shahriarirad R, Kazemi K",Journal of Parenteral and Enteral Nutrition,https://aspenjournals.onlinelibrary.wiley.com/doi/abs/10.1002/jpen.2231,Nutrition;Gastrointestinal surgery;Transplant surgery,gi;transplant,
109,2021,Jun,original,,gi;bariatric,Prevalence of Helicobacter Pylori Infection Before and One Year After Classic Gastric Bypass Surgery,"Valiee S, Hosseini B, Amini M, Haghighat N, Hosseinpour H, Moeinvaziri N*, Shahriarirad R, Tanideh N",Annals of Bariatric Surgery,https://www.researchgate.net/publication/354862675,Gastrointestinal surgery;Bariatric surgery,gi;bariatric,
110,2021,May,original,corresponding;last,vascular;transplant;urology,Renal Revascularization by a Pedicled Intestinal Segment Wrapping the Kidney: A New Method for Kidney Revascularization,"Hodjati H, Moosavi SM, Hosseinzadeh A, Anbardar MH, Sherafatmand S, Kazemnia K, Hosseinpour H, Shahriarirad R*",International Urology and Nephrology,https://link.springer.com/article/10.1007/s11255-021-02897-5,Vascular surgery;Transplant surgery;Urology,vascular;transplant,yes
111,2021,May,review,,infectious,Prevalence of HBV and HCV Infections in Iranian Blood Donors: An Updated Systematic Review and Meta-Analysis,"Kasraian L, Imanieh MH*, Tabrizi R, Shahriarirad R, Erfani A, Hosseini S",Middle East Journal of Digestive Diseases,https://mejdd.org/index.php/mejdd/article/viewFile/2243/2208,Infectious disease;Systematic review,infectious,
112,2021,Apr,original,co-first,infectious;pubhealth,"Cystic Echinococcosis: Knowledge, Attitude, and Practices (KAP) among Surgically Operated Cases in Fars Province, Southern Iran","Hosseini Z, Shahriarirad R, Sarkari B*",Journal of Parasitology Research,https://www.hindawi.com/journals/jpr/2021/9976548/,Knowledge attitudes practice;Infectious disease;Public health,infectious;pubhealth,
113,2021,Apr,original,corresponding,thoracic;pulm,"Evaluation of Lung Contusion, Associated Injuries, and Outcome in a Major Trauma Center in Shiraz, Southern Iran","Mardani P, Moayedi Rad M, Paydar S, Amirian A, Shahriarirad R*, Erfani A, Ranjbar K",Emergency Medicine International,https://www.hindawi.com/journals/emi/2021/3789132/,Trauma;Thoracic surgery;Pulmonology;Lung cancer,thoracic;pulm,
114,2021,Apr,original,,infectious;pulm,"Methylprednisolone or Dexamethasone, Which One is Superior Corticosteroid in the Treatment of Hospitalized COVID-19 Patients: A Triple-blinded Randomized Controlled Trial","Ranjbar K, Moghadami M*, Mirahmadizadeh A, Fallahi MJ, Khaloo V, Shahriarirad R, Hosseinpour H, Honarvar B",BMC Infectious Diseases,https://link.springer.com/article/10.1186/s12879-021-06045-3,Infectious disease;Pulmonology;COVID-19;Randomized trial,infectious;pulm,
115,2021,Mar,original,corresponding,infectious;pubhealth,COVID-19 Infection among Healthcare Workers: A Cross-sectional Study in Southwest Iran,"Sabetian G, Moghadami M, Haghighi LHF, Shahriarirad R*, Fallahi MJ, Asmarian N, Malekhosseini SA",Virology Journal,https://link.springer.com/article/10.1186/s12985-021-01532-0,Health systems;Infectious disease;Public health;COVID-19,infectious;pubhealth,
116,2021,Mar,original,,infectious;neuro;pubhealth,Students' Attitude and Sleep Pattern during School Closure following COVID-19 Pandemic Quarantine: A Web-based Survey in South of Iran,"Ranjbar K, Hosseinpour H, Shahriarirad R, Ghaem H, Jafari K, Rahimi T, Mirahmadizadeh A*",Environmental Health and Preventive Medicine,https://link.springer.com/article/10.1186/s12199-021-00950-4,Pediatric surgery;Infectious disease;Neurology;Public health;COVID-19,infectious;neuro,
117,2021,Mar,original,,neuro,"The Association between Emotional Stress, Sleep Disturbance, Depression, and Burning Mouth Syndrome","Rezazadeh F, Farahmand F, Hosseinpour H, Shahriarirad R, Sabet Eghlidi A*",BioMed Research International,https://www.hindawi.com/journals/bmri/2021/5555316/,Mental health;Neurology;Burns,neuro,
118,2021,Feb,original,first,infectious;neuro,The Mental Health Impact of COVID-19 Outbreak: A Nationwide Survey in Iran,"Shahriarirad R, Erfani A*, Ranjbar K, Bazrafshan A, Mirahmadizadeh A",International Journal of Mental Health Systems,https://ijmhs.biomedcentral.com/articles/10.1186/s13033-021-00445-3,Mental health;Infectious disease;Neurology;COVID-19,infectious;neuro,yes
119,2021,Jan,original,,vascular;education,An Investigation of the Knowledge of General Surgeons in Fars Province in Terms of the Complications of Central Venous Stenosis and Thrombosis Following Insertion of a Double-Lumen Subclavian Catheter,"Ghoddusi Johari H, Fatehpoor S, Mardani P, Shahriarirad R, Ranjbar K*",Sadra Medical Journal,https://smsj.sums.ac.ir/index.php/SMSJ/journal/article_47513.html,Vascular surgery;Medical education,vascular;education,
120,2020,Dec,original,,infectious;pubhealth,Evaluation of Students' Attitude and Emotions towards the Sudden Closure of Schools during the COVID-19 Pandemic: A Cross-sectional Study,"Mirahmadizadeh A, Ranjbar K, Shahriarirad R, Erfani A, Ghaem H, Jafari K, Ranjbar K*",BMC Psychology,https://link.springer.com/article/10.1186/s40359-020-00500-7,Mental health;Pediatric surgery;Infectious disease;Public health;COVID-19,infectious;pubhealth,
121,2020,Dec,original,,infectious,"Serosurvey of HBV Surface Antigen and Anti-HBV Surface Antibody among HIV-infected Patients in Fars Province, Southern Iran","Rastegarian M, Zeighami A, Shahriarirad R, Erfani A, Arefkhah N, Ghorbani F, Sarkari B, Sarvari J*",Le Infezioni in Medicina,https://www.infezmed.it/media/journal/Vol_28_4_2020_15.pdf,Translational research;Infectious disease,infectious,
122,2020,Nov,original,,plastic;pubhealth,Suicide by Self-immolation in Southern Iran: An Epidemiological Study,"Mohammadi AA, Karoobi M, Erfani A, Shahriarirad R, Ranjbar K*, Zardosht M, Modarresi MS",BMC Public Health,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-09778-z,Mental health;Plastic surgery;Public health,plastic;pubhealth,yes
123,2020,Sep,original,first,infectious,Uncommon Locations of Cystic Echinococcosis: A Report of 46 Cases from Southern Iran,"Shahriarirad R, Erfani A, Eskandarisani M, Rastegarian M, Sarkari B*",Surgery Research and Practice,https://www.hindawi.com/journals/srp/2020/2061045/,Infectious disease,infectious,
124,2020,Jul,original,first,infectious,"Seroprevalence of Anti-hepatitis E Antibodies and Antigens among HIV-infected Patients in Fars Province, Southern Iran","Shahriarirad R, Erfani A, Rastegarian M, Zeighami A, Arefkhah N, Ghorbani F, Sarkari B, Sarvari J*",BMC Virology,https://link.springer.com/article/10.1186/s12985-020-01384-0,Infectious disease,infectious,yes
125,2020,Jun,original,first,infectious,Human Cystic Echinococcosis in Southwest Iran: A 15-year Retrospective Epidemiological Study of Hospitalized Cases,"Shahriarirad R, Erfani A, Eskandarisani M, Rastegarian M, Taghizadeh H, Sarkari B*",Tropical Medicine and Health,https://link.springer.com/article/10.1186/s41182-020-00238-3,Infectious disease,infectious,
126,2020,Jun,original,corresponding;last,infectious,"Frequency and Antimicrobial Susceptibility Patterns of Diabetic Foot Infection of Patients from Bandar Abbas District, Southern Iran","Ahmadishooli A, Davoodian P, Shoja S, Ahmadishooli B, Dadvand H, Hamadiyan H, Shahriarirad R*",Journal of Pathogens,https://www.hindawi.com/journals/jpath/2020/1057167/,Diabetes;Infectious disease;Diabetic foot,infectious,
127,2020,Jun,original,co-first,infectious,Diagnostic Performance of Echinococcus granulosus Protoscolices Antigens in the Serodiagnosis of Human Cystic Echinococcosis,"Shahabinejad P, Shahriarirad R, Omidian M, Ghorbani F, Barazesh A, Sarkari B*",Journal of Immunoassay and Immunochemistry,https://www.tandfonline.com/doi/abs/10.1080/15321819.2020.1781653,Translational research;Infectious disease,infectious,
128,2020,Jun,original,first,infectious,Epidemiological and Clinical Features of 2019 Novel Coronavirus Diseases (COVID-19) in the South of Iran,"Shahriarirad R, Khodamoradi Z, Erfani A, Hosseinpour H, Ranjbar K, Emami Y, Mirahmadizadeh A, Honarvar B",BMC Infectious Diseases,https://link.springer.com/article/10.1186/s12879-020-05128-x,Infectious disease;COVID-19,infectious,
129,2020,Jun,original,,plastic;neuro,Evaluation of Epilepsy and Burn Patterns in a Tertiary Hospital in Southwestern Iran,"Mohammadi AA, Keshavarzi A, Erfani A, Modarresi MS, Shahriarirad R, Ranjbar K*",Epilepsy and Behavior,https://www.sciencedirect.com/science/article/abs/pii/S1525505020303929,Burns;Plastic surgery;Neurology,plastic;neuro,
130,2020,May,original,corresponding,ortho,Comparison of Accuracy in Expert Clinical Examination versus Magnetic Resonance Imaging and Arthroscopic Exam in Diagnosis of Meniscal Tear,"Hashemi SA, Ranjbar MR, Tahami M, Shahriarirad R*, Erfani A",Advances in Orthopedics,https://www.hindawi.com/journals/aorth/2020/1895852/,Imaging;Orthopaedic surgery,ortho,
