# COLUMN GUIDE: name=skill name, level=proficiency level, url=link to tool/project (optional)
name,level,url
SPSS,Good,
MS Office,Good,
Endnote,Good,
Corel Video Studio,Good,
Python,Beginner,
MATLAB,Beginner,
NCSS,Beginner,
Azure DevOps,Beginner,https://coursera.org/share/26e562c4c5d9ed3ceb8b3552298c1567
Typing,90 wpm,
